CountryName,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
United States,80.88643213,81.08483727,81.58996163,82.31966517,82.52148418,82.25107863,81.96247725,81.71262408,81.83139061
Uruguay,68.40051681,70.45751833,71.05606541,71.65149204,71.96871312,72.09908923,72.26562213,72.39582847,72.65624612
Uzbekistan,65.15774898,64.80218011,64.45047757,64.10256542,63.8926154,63.77005189,63.69681312,63.62433789,63.50461106
Vanuatu,78.99263126,78.17509583,77.13226248,76.27329382,76.30273097,76.39751553,76.58779286,76.875,77.06766623
"Venezuela, RB",62.62375812,62.62499809,63.24999809,64.2317368,63.68221697,63.93442473,64.26768117,64.52020258,64.72819437
Vietnam,88.61689624,88.8206409,88.80688098,88.91625574,88.92988971,88.84804088,88.88889096,88.80778919,88.72726903
Virgin Islands (U.S.),72.78731928,73.43957104,73.93047725,74.32795444,74.695534,74.76125096,74.72527369,74.68879353,74.65180529
West Bank and Gaza,21.66172114,22.25475715,22.97687907,23.42342453,22.2054388,22.50755333,22.92609217,23.19276998,23.57357383
"Yemen, Rep.",33.52112569,33.75527499,34.12921387,34.36184986,34.8314611,34.96503497,35.09749261,35.18005636,35.31034535
Zambia,85.36585517,85.36585517,85.34883898,85.33178318,85.33178318,85.31467872,85.41423519,85.397196,85.28037535
Zimbabwe,92.33333164,92.42761379,92.5306609,92.63393015,92.73743017,92.74553559,92.75362294,92.87304977,92.88888719
